Item Number,Item Description,Price (Case/Unit),Pack,Size,Quantity Shipped,Price (Extended)
1354946,"Cheese, Crumbled Feta",56.72,6,500.0 G,1,56.72
1303926,"Icing, Cream Cheese",34.15,8,0.68 KG,1,34.15
1327008,"Mushrooms, Premium Button, #1",20.09,1,5.0 LB,3,60.27
1260931,"Bacon Pieces, Cooked, Frozen",102.88,4,1.36 KG,1,102.88
1267483,"Cheese, Diced Mozzarella, CDC3D",120.03,2,6.0 KG,3,360.09
1260871,"Cheese Blend, Shredded Parmesan, 50/50",39.23,2,1.0 KG,1,39.23
1260870,"Cheese Blend, Shredded Three, 3",91.97,2,3.0 KG,1,91.97
1263084,"Salami, Pizza, Sliced Frozen",9.97,4,1.0 KGA,1,39.88
1436537,"Beef Crumbles, Cooked, Sausage Crumble Frozen",49.97,2,2.27 KG,1,49.97
1341931,"Sausages, Old World Italian, Frozen",86.11,4,2.27 KG,2,172.22
1404439,"Sausage, Italian, Topping, Cooked, Frozen",50.27,2,2.27 KG,1,50.27
1502660,"Boxes, 12In Pizza, Custom",26.34,1,50.0 UN,2,52.68
1502661,"Boxes, 14In Pizza, Custom",28.34,1,50.0 UN,5,141.7
1502659,"Boxes, 6.5In Pizza, Custom",29.91,1,100.0 UN,1,29.91
1502656,"Boxes, 10In Kraft Pizza, Custom",21.22,1,50.0 UN,2,42.44
1502654,"Boxes, 8In Kraft Pizza, Custom",20.57,1,50.0 UN,2,41.14
1277753,"Boxes, Pizza Slice, Custom",102.96,1,300.0 UN,1,102.96
1502653,"Cartons, Papadia, Custom",26.66,1,50.0 UN,1,26.66
1188837,"Dressing, Creamy Ranch, Gluten Free",55.4,2,3.78 L,1,55.4
1503392,"Peppers, Crushed Red, Packet",,1,500.0 UN,0,0
9945205,"Pineapple Tidbits, In Natural Juice Tidbit Trans Fat Compliant",59.82,6,2.84 L,1,59.82
1294190,"Plates, 9In Paper, Custom",34.48,4,125.0 UN,1,34.48
1260051,"Pizza Sauce, Fully Seasoned",53.98,6,100.0 OZ,3,161.94
