Item Number,Item Description,Price (Case/Unit),Pack,Size,Quantity Shipped,Price (Extended)
1303926,"Icing, Cream Cheese",33.25,8,0.68 KG,1,33.25
1325719,"Sauce, Garlic, Cup",24.99,160,1.0 OZ,4,99.96
1294178,"Bacon, Canadian Style, Julienne Frozen",41.19,2,2.27 KG,1,41.19
1260931,"Bacon Pieces, Cooked, Frozen",102.08,4,1.36 KG,1,102.08
1267483,"Cheese, Diced Mozzarella, CDC3D",120.71,2,6.0 KG,4,482.84
1260870,"Cheese Blend, Shredded Three, 3",92.44,2,3.0 KG,1,92.44
1288202,"Chicken Breast Strips, Cooked, Frozen",64.16,2,5.0 LB,1,64.16
1488066,"Chicken Wings, Seasoned, Cooked, Frozen",92.67,4,2.0 KG,1,92.67
1380913,"Sauce, Alfredo, Frozen",21.02,3,2.0 LB,1,21.02
1341931,"Sausages, Old World Italian, Frozen",88.53,4,2.27 KG,1,88.53
1502660,"Boxes, 12In Pizza, Custom",26.78,1,50.0 UN,4,107.12
1502661,"Boxes, 14In Pizza, Custom",28.98,1,50.0 UN,4,115.92
1502659,"Boxes, 6.5In Pizza, Custom",30.29,1,100.0 UN,1,30.29
1502656,"Boxes, 10In Kraft Pizza, Custom",21.57,1,50.0 UN,1,21.57
1502655,"Boxes, 16In Kraft Pizza, Custom",39.49,1,50.0 UN,1,39.49
1502654,"Boxes, 8In Kraft Pizza, Custom",20.85,1,50.0 UN,2,41.7
1502653,"Cartons, Papadia, Custom",26.66,1,50.0 UN,1,26.66
1362023,"Sauce, Barbeque",35.94,8,64.0 OZ,1,35.94
1502905,"Sauce, Butter Chicken",,12,473.0 ML,0,0
1150622,"Sauce, Creamy Garlic Dipping, Portion Cup",52.67,100,44.0 ML,1,52.67
1260051,"Pizza Sauce, Fully Seasoned",53.98,6,100.0 OZ,4,215.92
