Item Number,Item Description,Price (Case/Unit),Pack,Size,Quantity Shipped,Price (Extended)
2364005,"Anchovy Fillets, Flat, In Oil",53.82,18,50.0 G,1,53.82
1325719,"Sauce, Garlic, Cup",33.13,160,1.0 OZ,2,66.26
1302732,"Sauce, Garlic Parmesan, Jug",54.94,2,3.85 KG,1,54.94
1294178,"Bacon, Canadian Style, Julienne Frozen",41.1,2,2.27 KG,1,41.1
1260931,"Bacon Pieces, Cooked, Frozen",105.13,4,1.36 KG,1,105.13
1291786,"Ground Beef, Cooked Seasoned, Frozen",38.9,2,1.36 KG,1,38.9
1267483,"Cheese, Diced Mozzarella, CDC3D",120.71,2,6.0 KG,5,603.55
1382216,"Cheese, Mozzarella String, Frozen",83.99,1,6.0 KG,1,83.99
1260871,"Cheese Blend, Shredded Parmesan, 50/50",39.42,2,1.0 KG,1,39.42
1288202,"Chicken Breast Strips, Cooked, Frozen",62.39,2,5.0 LB,1,62.39
1476409,"Chicken Wings, Boneless, Frozen",69.74,2,2.27 KG,1,69.74
1488066,"Chicken Wings, Seasoned, Cooked, Frozen",92.67,4,2.0 KG,1,92.67
1504473,"Pepperoni, Sliced, Frozen",108.86,2,12.5 LB,1,108.86
1503388,"Pizza Crust, Gluten Free, Frozen",20.98,1,5.0 UN,1,20.98
1261258,"Crust, Thin Pizza, Frozen",90.48,60,10.0 OZ,1,90.48
1380913,"Sauce, Alfredo, Frozen",27.57,3,2.0 LB,1,27.57
1502660,"Boxes, 12In Pizza, Custom",,1,50.0 UN,0,0
1502661,"Boxes, 14In Pizza, Custom",31.36,1,50.0 UN,2,62.72
1502659,"Boxes, 6.5In Pizza, Custom",32.85,1,100.0 UN,1,32.85
1502656,"Boxes, 10In Kraft Pizza, Custom",23.2,1,50.0 UN,2,46.4
1502655,"Boxes, 16In Kraft Pizza, Custom",42.97,1,50.0 UN,1,42.97
1502654,"Boxes, 8In Kraft Pizza, Custom",22.41,1,50.0 UN,1,22.41
1503394,"Peppers, Sliced Jalapeno",49.42,8,80.0 OZ,1,49.42
1504037,"Pineapple Tidbits, Light Syrup, #10",55.83,6,10.0 UN,1,55.83
1362023,"Sauce, Barbeque",49.87,8,64.0 OZ,1,49.87
1333028,"Sauce, Barbeque, Portion Cup",31.49,160,1.0 OZ,1,31.49
1150622,"Sauce, Creamy Garlic Dipping, Portion Cup",52.67,100,44.0 ML,1,52.67
1260051,"Pizza Sauce, Fully Seasoned",53.98,6,100.0 OZ,2,107.96
