Item Number,Item Description,Price (Case/Unit),Pack,Size,Quantity Shipped,Price (Extended)
1354946,"Cheese, Crumbled Feta",57.42,6,500.0 G,1,57.42
1325719,"Sauce, Garlic, Cup",24.54,160,1.0 OZ,2,49.08
1260931,"Bacon Pieces, Cooked, Frozen",110.37,4,1.36 KG,1,110.37
1503250,"Beef Steaks, Sliced Seasoned Philly, Cooked, Frozen",96.76,4,2.5 LB,2,193.52
1267483,"Cheese, Diced Mozzarella, CDC3D",120.71,2,6.0 KG,5,603.55
1382216,"Cheese, Mozzarella String, Frozen",83.99,1,6.0 KG,1,83.99
1288202,"Chicken Breast Strips, Cooked, Frozen",62.39,2,5.0 LB,1,62.39
1488066,"Chicken Wings, Seasoned, Cooked, Frozen",92.67,4,2.0 KG,1,92.67
1380913,"Sauce, Alfredo, Frozen",20.72,3,2.0 LB,1,20.72
1291785,"Sausages, Italian, Cooked, Frozen",34.14,4,2.27 KG,1,34.14
1502661,"Boxes, 14In Pizza, Custom",31.36,1,50.0 UN,3,94.08
1502656,"Boxes, 10In Kraft Pizza, Custom",23.2,1,50.0 UN,2,46.4
1502655,"Boxes, 16In Kraft Pizza, Custom",42.97,1,50.0 UN,1,42.97
1502654,"Boxes, 8In Kraft Pizza, Custom",22.41,1,50.0 UN,1,22.41
1504037,"Pineapple Tidbits, Light Syrup, #10",56.8,6,10.0 UN,2,113.6
1260051,"Pizza Sauce, Fully Seasoned",53.98,6,100.0 OZ,3,161.94
1476275,"Seasoning, Special, Portion",17.84,300,2.8 G,1,17.84
