Item Number,Item Description,Price (Case/Unit),Pack,Size,Quantity Shipped,Price (Extended)
1326987,"Mushrooms, Premium Medium, #1",20.13,1,5.0 LB,2,40.26
1311589,"Peppers, Choice Green",38.86,1,25.0 LB,1,38.86
1325719,"Sauce, Garlic, Cup",24.99,160,1.0 OZ,2,49.98
1260931,"Bacon Pieces, Cooked, Frozen",102.08,4,1.36 KG,1,102.08
1503250,"Beef Steaks, Sliced Seasoned Philly, Cooked, Frozen",89.81,4,2.5 LB,1,89.81
1267483,"Cheese, Diced Mozzarella, CDC3D",120.71,2,6.0 KG,3,362.13
1382216,"Cheese, Mozzarella String, Frozen",83.99,1,6.0 KG,1,83.99
1260871,"Cheese Blend, Shredded Parmesan, 50/50",39.42,2,1.0 KG,1,39.42
1260870,"Cheese Blend, Shredded Three, 3",92.44,2,3.0 KG,1,92.44
1476409,"Chicken Wings, Boneless, Frozen",71.61,2,2.27 KG,1,71.61
1488066,"Chicken Wings, Seasoned, Cooked, Frozen",92.67,4,2.0 KG,2,185.34
1261475,"Cookies, Chocolate Chip, Frozen",72.47,24,0.32 KG,1,72.47
1504473,"Pepperoni, Sliced, Frozen",102.33,2,12.5 LB,2,204.66
1380913,"Sauce, Alfredo, Frozen",21.02,3,2.0 LB,1,21.02
1502660,"Boxes, 12In Pizza, Custom",26.78,1,50.0 UN,2,53.56
1502661,"Boxes, 14In Pizza, Custom",28.98,1,50.0 UN,5,144.9
1502659,"Boxes, 6.5In Pizza, Custom",30.29,1,100.0 UN,1,30.29
1502656,"Boxes, 10In Kraft Pizza, Custom",21.57,1,50.0 UN,1,21.57
1502655,"Boxes, 16In Kraft Pizza, Custom",39.49,1,50.0 UN,1,39.49
1502654,"Boxes, 8In Kraft Pizza, Custom",20.85,1,50.0 UN,3,62.55
1503391,"Peppers, Pepperoncini",40.61,6,5.0 LB,1,40.61
1504037,"Pineapple Tidbits, Light Syrup, #10",56.8,6,10.0 UN,1,56.8
1362023,"Sauce, Barbeque",35.94,8,64.0 OZ,1,35.94
1362021,"Sauce, Buffalo",21.21,8,24.0 OZ,1,21.21
1261357,"Sauce, Honey Chipotle",22.75,10,16.0 OZ,1,22.75
1260051,"Pizza Sauce, Fully Seasoned",,6,100.0 OZ,0,0
1503396,"Sheets, 10In Baking",20.94,1,1000.0 UN,1,20.94
