Item Number,Item Description,Price (Case/Unit),Pack,Size,Quantity Shipped,Price (Extended)
1325719,"Sauce, Garlic, Cup",24.54,160,1.0 OZ,1,24.54
1302732,"Sauce, Garlic Parmesan, Jug",39.48,2,3.85 KG,1,39.48
1294178,"Bacon, Canadian Style, Julienne Frozen",41.1,2,2.27 KG,1,41.1
1503250,"Beef Steaks, Sliced Seasoned Philly, Cooked, Frozen",96.76,4,2.5 LB,1,96.76
1267483,"Cheese, Diced Mozzarella, CDC3D",120.71,2,6.0 KG,4,482.84
1382216,"Cheese, Mozzarella String, Frozen",83.99,1,6.0 KG,1,83.99
1260870,"Cheese Blend, Shredded Three, 3",92.44,2,3.0 KG,1,92.44
1288202,"Chicken Breast Strips, Cooked, Frozen",62.39,2,5.0 LB,1,62.39
1476409,"Chicken Wings, Boneless, Frozen",69.74,2,2.27 KG,1,69.74
1488066,"Chicken Wings, Seasoned, Cooked, Frozen",92.67,4,2.0 KG,1,92.67
1503388,"Pizza Crust, Gluten Free, Frozen",16.22,1,5.0 UN,1,16.22
7015888,"Bags, Extra Strong Value Plus Garbage, 42X48In",33.36,1,75.0 UN,1,33.36
1502660,"Boxes, 12In Pizza, Custom",28.95,1,50.0 UN,2,57.9
1502661,"Boxes, 14In Pizza, Custom",31.36,1,50.0 UN,2,62.72
1502655,"Boxes, 16In Kraft Pizza, Custom",42.97,1,50.0 UN,1,42.97
1502653,"Cartons, Papadia, Custom",28.87,1,50.0 UN,1,28.87
1188837,"Dressing, Creamy Ranch, Gluten Free",55.4,2,3.78 L,1,55.4
1362023,"Sauce, Barbeque",36.01,8,64.0 OZ,1,36.01
1260051,"Pizza Sauce, Fully Seasoned",53.98,6,100.0 OZ,1,53.98
