Item Number,Item Description,Price (Case/Unit),Pack,Size,Quantity Shipped,Price (Extended)
1333025,"Sauce, Ranch, Portion Cup",24.4,160,1.0 OZ,1,24.4
1267483,"Cheese, Diced Mozzarella, CDC3D",120.71,2,6.0 KG,3,362.13
1505004,"Flour, Dustinator Blend Pizza, Frozen",19.65,1,25.0 LB,1,19.65
1303887,"Pastries, Cinnamon Twist, Pull Apart",59.1,16,0.37 KG,1,59.1
1189671,"Pepperoni, Dry Cure, Frozen",101.92,2,10.0 LB,1,101.92
1503388,"Pizza Crust, Gluten Free, Frozen",16.22,1,5.0 UN,1,16.22
1503399,"Sauce, Spicy Garlic, Portion Cups",28.8,160,1.0 OZ,1,28.8
1436537,"Beef Crumbles, Cooked, Sausage Crumble Frozen",49.97,2,2.27 KG,1,49.97
7015888,"Bags, Extra Strong Value Plus Garbage, 42X48In",33.36,1,75.0 UN,1,33.36
1502660,"Boxes, 12In Pizza, Custom",26.78,1,50.0 UN,1,26.78
1502661,"Boxes, 14In Pizza, Custom",28.98,1,50.0 UN,1,28.98
1502656,"Boxes, 10In Kraft Pizza, Custom",21.57,1,50.0 UN,1,21.57
1502655,"Boxes, 16In Kraft Pizza, Custom",39.49,1,50.0 UN,1,39.49
1502654,"Boxes, 8In Kraft Pizza, Custom",20.85,1,50.0 UN,1,20.85
1277757,"Labels, 4.1X1.75In Sticker, Roll, Custom",96.31,1,16.0 UN,1,96.31
1150622,"Sauce, Creamy Garlic Dipping, Portion Cup",55.67,100,44.0 ML,1,55.67
1260051,"Pizza Sauce, Fully Seasoned",53.98,6,100.0 OZ,3,161.94
1277766,"Trays, Paper, Garlic Knot Cust Papa John",14.91,1,125.0 UN,1,14.91
