Item Number,Item Description,Price (Case/Unit),Pack,Size,Quantity Shipped,Price (Extended)
1325719,"Sauce, Garlic, Cup",24.99,160,1.0 OZ,2,49.98
1319486,"Tomatoes, Medium Stage 4/5, Bulk 6X7",30.18,1,25.0 LB,1,30.18
1294178,"Bacon, Canadian Style, Julienne Frozen",41.19,2,2.27 KG,1,41.19
1277827,"Brownies, Brownie, Frozen",67.83,1,18.0 LB,1,67.83
1267483,"Cheese, Diced Mozzarella, CDC3D",120.71,2,6.0 KG,6,724.26
1382216,"Cheese, Mozzarella String, Frozen",83.99,1,6.0 KG,1,83.99
1260870,"Cheese Blend, Shredded Three, 3",92.44,2,3.0 KG,2,184.88
1288202,"Chicken Breast Strips, Cooked, Frozen",64.16,2,5.0 LB,1,64.16
1303887,"Pastries, Cinnamon Twist, Pull Apart",59.1,16,0.37 KG,1,59.1
1189671,"Pepperoni, Dry Cure, Frozen",101.92,2,10.0 LB,2,203.84
1503388,"Pizza Crust, Gluten Free, Frozen",16.22,1,5.0 UN,1,16.22
1261258,"Crust, Thin Pizza, Frozen",63.74,60,10.0 OZ,1,63.74
1380913,"Sauce, Alfredo, Frozen",21.02,3,2.0 LB,1,21.02
1404439,"Sausage, Italian, Topping, Cooked, Frozen",50.27,2,2.27 KG,1,50.27
1502660,"Boxes, 12In Pizza, Custom",26.34,1,50.0 UN,3,79.02
1502661,"Boxes, 14In Pizza, Custom",28.34,1,50.0 UN,3,85.02
1502656,"Boxes, 10In Kraft Pizza, Custom",21.22,1,50.0 UN,3,63.66
1502655,"Boxes, 16In Kraft Pizza, Custom",38.65,1,50.0 UN,1,38.65
1502653,"Cartons, Papadia, Custom",26.66,1,50.0 UN,1,26.66
1502905,"Sauce, Butter Chicken",39.8,12,473.0 ML,1,39.8
1150622,"Sauce, Creamy Garlic Dipping, Portion Cup",55.67,100,44.0 ML,1,55.67
1260051,"Pizza Sauce, Fully Seasoned",53.98,6,100.0 OZ,4,215.92
1277766,"Trays, Paper, Garlic Knot Cust Papa John",14.91,1,125.0 UN,1,14.91
