Item Number,Item Description,Price (Case/Unit),Pack,Size,Quantity Shipped,Price (Extended)
1453617,"Cookies, Small Oreo",54.71,12,1.0 LB,1,54.71
1325719,"Sauce, Garlic, Cup",24.54,160,1.0 OZ,1,24.54
1333025,"Sauce, Ranch, Portion Cup",24.95,160,1.0 OZ,1,24.95
1294178,"Bacon, Canadian Style, Julienne Frozen",41.1,2,2.27 KG,1,41.1
1267483,"Cheese, Diced Mozzarella, CDC3D",120.71,2,6.0 KG,5,603.55
1382216,"Cheese, Mozzarella String, Frozen",83.99,1,6.0 KG,1,83.99
1288202,"Chicken Breast Strips, Cooked, Frozen",64.16,2,5.0 LB,2,128.32
1476409,"Chicken Wings, Boneless, Frozen",71.61,2,2.27 KG,1,71.61
1488066,"Chicken Wings, Seasoned, Cooked, Frozen",92.67,4,2.0 KG,1,92.67
1505004,"Flour, Dustinator Blend Pizza, Frozen",19.64,1,25.0 LB,1,19.64
1504473,"Pepperoni, Sliced, Frozen",73.95,2,12.5 LB,3,221.85
1503388,"Pizza Crust, Gluten Free, Frozen",16.22,1,5.0 UN,1,16.22
1261258,"Crust, Thin Pizza, Frozen",63.82,60,10.0 OZ,1,63.82
1380913,"Sauce, Alfredo, Frozen",20.72,3,2.0 LB,1,20.72
1502660,"Boxes, 12In Pizza, Custom",26.78,1,50.0 UN,2,53.56
1502661,"Boxes, 14In Pizza, Custom",28.98,1,50.0 UN,1,28.98
1502656,"Boxes, 10In Kraft Pizza, Custom",21.57,1,50.0 UN,1,21.57
1502655,"Boxes, 16In Kraft Pizza, Custom",39.49,1,50.0 UN,1,39.49
1502654,"Boxes, 8In Kraft Pizza, Custom",20.85,1,50.0 UN,1,20.85
1503391,"Peppers, Pepperoncini",40.61,6,5.0 LB,2,81.22
1294190,"Plates, 9In Paper, Custom",33.65,4,125.0 UN,1,33.65
1150622,"Sauce, Creamy Garlic Dipping, Portion Cup",52.67,100,44.0 ML,2,105.34
1449783,"Tray, Paper Oven, For Papa Bowl, Custom, Papa Johns",71.3,1,300.0 UN,1,71.3
