Item Number,Item Description,Price (Case/Unit),Pack,Size,Quantity Shipped,Price (Extended)
1327008,"Mushrooms, Premium Button, #1",,1,5.0 LB,0,0
1348646,"Onions, Cooking",37.18,1,22.7 KG,1,37.18
1325719,"Sauce, Garlic, Cup",25.58,160,1.0 OZ,3,76.74
1302732,"Sauce, Garlic Parmesan, Jug",41.08,2,3.85 KG,1,41.08
1260931,"Bacon Pieces, Cooked, Frozen",93.93,4,1.36 KG,1,93.93
1267483,"Cheese, Diced Mozzarella, CDC3D",120.03,2,6.0 KG,6,720.18
1288202,"Chicken Breast Strips, Cooked, Frozen",64.16,2,5.0 LB,2,128.32
1476409,"Chicken Wings, Boneless, Frozen",71.61,2,2.27 KG,2,143.22
1261475,"Cookies, Chocolate Chip, Frozen",73.58,24,0.32 KG,1,73.58
1303887,"Pastries, Cinnamon Twist, Pull Apart",60.06,16,0.37 KG,1,60.06
1189671,"Pepperoni, Dry Cure, Frozen",101.17,2,10.0 LB,1,101.17
1503388,"Pizza Crust, Gluten Free, Frozen",15.99,1,5.0 UN,2,31.98
1261258,"Crust, Thin Pizza, Frozen",66.22,60,10.0 OZ,1,66.22
1503399,"Sauce, Spicy Garlic, Portion Cups",29.62,160,1.0 OZ,1,29.62
1436537,"Beef Crumbles, Cooked, Sausage Crumble Frozen",49.97,2,2.27 KG,1,49.97
1502660,"Boxes, 12In Pizza, Custom",26.34,1,50.0 UN,4,105.36
1502661,"Boxes, 14In Pizza, Custom",28.34,1,50.0 UN,2,56.68
1502656,"Boxes, 10In Kraft Pizza, Custom",,1,50.0 UN,0,0
9945205,"Pineapple Tidbits, In Natural Juice Tidbit Trans Fat Compliant",59.82,6,2.84 L,1,59.82
1150622,"Sauce, Creamy Garlic Dipping, Portion Cup",54.87,100,44.0 ML,2,109.74
1260051,"Pizza Sauce, Fully Seasoned",53.98,6,100.0 OZ,5,269.9
1503396,"Sheets, 10In Baking",21.26,1,1000.0 UN,1,21.26
1261571,"Trays, Paper, Garlic Bread Custom Papa Johns",32.88,1,8.98 KG,1,32.88
