Item Number,Item Description,Price (Case/Unit),Pack,Size,Quantity Shipped,Price (Extended)
1327008,"Mushrooms, Premium Button, #1",20.09,1,5.0 LB,4,80.36
1325719,"Sauce, Garlic, Cup",25.58,160,1.0 OZ,4,102.32
1319486,"Tomatoes, Medium Stage 4/5, Bulk 6X7",36.98,1,25.0 LB,1,36.98
1294178,"Bacon, Canadian Style, Julienne Frozen",41.19,2,2.27 KG,1,41.19
1260931,"Bacon Pieces, Cooked, Frozen",93.93,4,1.36 KG,1,93.93
1267483,"Cheese, Diced Mozzarella, CDC3D",120.03,2,6.0 KG,3,360.09
1382216,"Cheese, Mozzarella String, Frozen",,1,6.0 KG,0,0
1288202,"Chicken Breast Strips, Cooked, Frozen",,2,5.0 LB,0,0
1505004,"Flour, Dustinator Blend Pizza, Frozen",20.93,1,25.0 LB,1,20.93
1503388,"Pizza Crust, Gluten Free, Frozen",15.99,1,5.0 UN,2,31.98
1380913,"Sauce, Alfredo, Frozen",21.33,3,2.0 LB,1,21.33
1502656,"Boxes, 10In Kraft Pizza, Custom",,1,50.0 UN,0,0
1502524,"Labels, Quality, Custom",77.41,12,1000.0 UN,1,77.41
1503393,"Peppers, Sliced Banana",38.37,8,80.0 OZ,1,38.37
1502905,"Sauce, Butter Chicken",39.8,12,473.0 ML,1,39.8
1260051,"Pizza Sauce, Fully Seasoned",53.98,6,100.0 OZ,2,107.96
