Item Number,Item Description,Price (Case/Unit),Pack,Size,Quantity Shipped,Price (Extended)
1354946,"Cheese, Crumbled Feta",57.42,6,500.0 G,1,57.42
1325719,"Sauce, Garlic, Cup",24.54,160,1.0 OZ,2,49.08
1294178,"Bacon, Canadian Style, Julienne Frozen",41.1,2,2.27 KG,1,41.1
1260931,"Bacon Pieces, Cooked, Frozen",110.37,4,1.36 KG,2,220.74
1503250,"Beef Steaks, Sliced Seasoned Philly, Cooked, Frozen",96.76,4,2.5 LB,1,96.76
1277827,"Brownies, Brownie, Frozen",68.03,1,18.0 LB,1,68.03
1267483,"Cheese, Diced Mozzarella, CDC3D",120.71,2,6.0 KG,5,603.55
1382216,"Cheese, Mozzarella String, Frozen",83.99,1,6.0 KG,1,83.99
1260871,"Cheese Blend, Shredded Parmesan, 50/50",39.42,2,1.0 KG,2,78.84
1260870,"Cheese Blend, Shredded Three, 3",92.44,2,3.0 KG,1,92.44
1288202,"Chicken Breast Strips, Cooked, Frozen",62.39,2,5.0 LB,2,124.78
1504473,"Pepperoni, Sliced, Frozen",73.95,2,12.5 LB,2,147.9
1503388,"Pizza Crust, Gluten Free, Frozen",16.22,1,5.0 UN,2,32.44
1502660,"Boxes, 12In Pizza, Custom",28.95,1,50.0 UN,3,86.85
1502661,"Boxes, 14In Pizza, Custom",31.36,1,50.0 UN,4,125.44
1502659,"Boxes, 6.5In Pizza, Custom",32.85,1,100.0 UN,1,32.85
1502656,"Boxes, 10In Kraft Pizza, Custom",23.2,1,50.0 UN,3,69.6
1502655,"Boxes, 16In Kraft Pizza, Custom",42.97,1,50.0 UN,1,42.97
1502654,"Boxes, 8In Kraft Pizza, Custom",22.41,1,50.0 UN,2,44.82
1503393,"Peppers, Sliced Banana",35.69,8,80.0 OZ,1,35.69
1503394,"Peppers, Sliced Jalapeno",35.7,8,80.0 OZ,1,35.7
1504037,"Pineapple Tidbits, Light Syrup, #10",56.8,6,10.0 UN,1,56.8
1502905,"Sauce, Butter Chicken",39.8,12,473.0 ML,2,79.6
1362021,"Sauce, Buffalo",21.06,8,24.0 OZ,1,21.06
1150622,"Sauce, Creamy Garlic Dipping, Portion Cup",52.67,100,44.0 ML,1,52.67
1260051,"Pizza Sauce, Fully Seasoned",53.98,6,100.0 OZ,5,269.9
