Item Number,Item Description,Price (Case/Unit),Pack,Size,Quantity Shipped,Price (Extended)
1333047,"Sauce, Cheese, Portion Cup",,128,1.0 OZ,0,0
1294178,"Bacon, Canadian Style, Julienne Frozen",41.1,2,2.27 KG,1,41.1
1260931,"Bacon Pieces, Cooked, Frozen",105.13,4,1.36 KG,1,105.13
1267483,"Cheese, Diced Mozzarella, CDC3D",120.71,2,6.0 KG,6,724.26
1382216,"Cheese, Mozzarella String, Frozen",83.99,1,6.0 KG,1,83.99
1260870,"Cheese Blend, Shredded Three, 3",92.44,2,3.0 KG,1,92.44
1476409,"Chicken Wings, Boneless, Frozen",69.74,2,2.27 KG,1,69.74
1505004,"Flour, Dustinator Blend Pizza, Frozen",20.66,1,25.0 LB,1,20.66
1502660,"Boxes, 12In Pizza, Custom",28.95,1,50.0 UN,3,86.85
1502661,"Boxes, 14In Pizza, Custom",31.36,1,50.0 UN,3,94.08
1502656,"Boxes, 10In Kraft Pizza, Custom",23.2,1,50.0 UN,2,46.4
1362021,"Sauce, Buffalo",21.79,8,24.0 OZ,1,21.79
1260051,"Pizza Sauce, Fully Seasoned",53.98,6,100.0 OZ,3,161.94
