Item Number,Item Description,Price (Case/Unit),Pack,Size,Quantity Shipped,Price (Extended)
1303926,"Icing, Cream Cheese",33.76,8,0.68 KG,1,33.76
1325719,"Sauce, Garlic, Cup",24.99,160,1.0 OZ,3,74.97
1333025,"Sauce, Ranch, Portion Cup",24.41,160,1.0 OZ,1,24.41
1260931,"Bacon Pieces, Cooked, Frozen",93.93,4,1.36 KG,1,93.93
1277827,"Brownies, Brownie, Frozen",67.92,1,18.0 LB,1,67.92
1267483,"Cheese, Diced Mozzarella, CDC3D",120.71,2,6.0 KG,5,603.55
1260871,"Cheese Blend, Shredded Parmesan, 50/50",39.42,2,1.0 KG,1,39.42
1502660,"Boxes, 12In Pizza, Custom",26.34,1,50.0 UN,1,26.34
1502661,"Boxes, 14In Pizza, Custom",28.34,1,50.0 UN,1,28.34
1502656,"Boxes, 10In Kraft Pizza, Custom",21.22,1,50.0 UN,2,42.44
1502524,"Labels, Quality, Custom",77.41,12,1000.0 UN,1,77.41
1503391,"Peppers, Pepperoncini",41.35,6,5.0 LB,1,41.35
1362023,"Sauce, Barbeque",35.96,8,64.0 OZ,1,35.96
1476275,"Seasoning, Special, Portion",17.84,300,2.8 G,1,17.84
