Item Number,Item Description,Price (Case/Unit),Pack,Size,Quantity Shipped,Price (Extended)
1333047,"Sauce, Cheese, Portion Cup",,128,1.0 OZ,0,0
1325719,"Sauce, Garlic, Cup",24.99,160,1.0 OZ,2,49.98
1333025,"Sauce, Ranch, Portion Cup",24.4,160,1.0 OZ,1,24.4
1260931,"Bacon Pieces, Cooked, Frozen",102.08,4,1.36 KG,1,102.08
1267483,"Cheese, Diced Mozzarella, CDC3D",120.71,2,6.0 KG,4,482.84
1260871,"Cheese Blend, Shredded Parmesan, 50/50",39.42,2,1.0 KG,1,39.42
1288202,"Chicken Breast Strips, Cooked, Frozen",64.16,2,5.0 LB,1,64.16
1488066,"Chicken Wings, Seasoned, Cooked, Frozen",92.67,4,2.0 KG,1,92.67
1504473,"Pepperoni, Sliced, Frozen",106.63,2,12.5 LB,1,106.63
1436537,"Beef Crumbles, Cooked, Sausage Crumble Frozen",49.97,2,2.27 KG,1,49.97
7015888,"Bags, Extra Strong Value Plus Garbage, 42X48In",33.36,1,75.0 UN,1,33.36
1502661,"Boxes, 14In Pizza, Custom",28.98,1,50.0 UN,2,57.96
1502656,"Boxes, 10In Kraft Pizza, Custom",21.57,1,50.0 UN,3,64.71
1504037,"Pineapple Tidbits, Light Syrup, #10",56.8,6,10.0 UN,1,56.8
1260051,"Pizza Sauce, Fully Seasoned",53.98,6,100.0 OZ,2,107.96
1476275,"Seasoning, Special, Portion",,300,2.8 G,0,0
1277766,"Trays, Paper, Garlic Knot Cust Papa John",14.91,1,125.0 UN,1,14.91
1449783,"Tray, Paper Oven, For Papa Bowl, Custom, Papa Johns",,1,300.0 UN,0,0
