Item Number,Item Description,Price (Case/Unit),Pack,Size,Quantity Shipped,Price (Extended)
1325719,"Sauce, Garlic, Cup",24.54,160,1.0 OZ,4,98.16
1302732,"Sauce, Garlic Parmesan, Jug",39.48,2,3.85 KG,1,39.48
1503395,"Sauce, Zesty, Portion Cups",51.69,160,1.0 OZ,1,51.69
1294178,"Bacon, Canadian Style, Julienne Frozen",41.1,2,2.27 KG,1,41.1
1277827,"Brownies, Brownie, Frozen",68.03,1,18.0 LB,1,68.03
1267483,"Cheese, Diced Mozzarella, CDC3D",120.71,2,6.0 KG,5,603.55
1382216,"Cheese, Mozzarella String, Frozen",83.99,1,6.0 KG,1,83.99
1288202,"Chicken Breast Strips, Cooked, Frozen",62.39,2,5.0 LB,1,62.39
1476409,"Chicken Wings, Boneless, Frozen",69.74,2,2.27 KG,1,69.74
1488066,"Chicken Wings, Seasoned, Cooked, Frozen",92.67,4,2.0 KG,1,92.67
1261475,"Cookies, Chocolate Chip, Frozen",71.85,24,0.32 KG,1,71.85
1505004,"Flour, Dustinator Blend Pizza, Frozen",19.64,1,25.0 LB,1,19.64
1303887,"Pastries, Cinnamon Twist, Pull Apart",60.44,16,0.37 KG,1,60.44
1503388,"Pizza Crust, Gluten Free, Frozen",16.22,1,5.0 UN,1,16.22
1380913,"Sauce, Alfredo, Frozen",20.72,3,2.0 LB,1,20.72
1503399,"Sauce, Spicy Garlic, Portion Cups",28.87,160,1.0 OZ,1,28.87
1436537,"Beef Crumbles, Cooked, Sausage Crumble Frozen",,2,2.27 KG,0,0
1341931,"Sausages, Old World Italian, Frozen",88.53,4,2.27 KG,1,88.53
1502660,"Boxes, 12In Pizza, Custom",28.95,1,50.0 UN,3,86.85
1502661,"Boxes, 14In Pizza, Custom",31.36,1,50.0 UN,2,62.72
1502656,"Boxes, 10In Kraft Pizza, Custom",23.2,1,50.0 UN,3,69.6
1260051,"Pizza Sauce, Fully Seasoned",53.98,6,100.0 OZ,4,215.92
1261571,"Trays, Paper, Garlic Bread Custom Papa Johns",31.28,1,8.98 KG,1,31.28
1277766,"Trays, Paper, Garlic Knot Cust Papa John",14.91,1,125.0 UN,1,14.91
