Item Number,Item Description,Price (Case/Unit),Pack,Size,Quantity Shipped,Price (Extended)
1325719,"Sauce, Garlic, Cup",24.99,160,1.0 OZ,2,49.98
1302732,"Sauce, Garlic Parmesan, Jug",39.81,2,3.85 KG,1,39.81
1294178,"Bacon, Canadian Style, Julienne Frozen",41.19,2,2.27 KG,1,41.19
1260931,"Bacon Pieces, Cooked, Frozen",102.08,4,1.36 KG,1,102.08
1267483,"Cheese, Diced Mozzarella, CDC3D",120.71,2,6.0 KG,6,724.26
1382216,"Cheese, Mozzarella String, Frozen",83.99,1,6.0 KG,2,167.98
1260871,"Cheese Blend, Shredded Parmesan, 50/50",39.42,2,1.0 KG,1,39.42
1260870,"Cheese Blend, Shredded Three, 3",92.44,2,3.0 KG,1,92.44
1288202,"Chicken Breast Strips, Cooked, Frozen",64.16,2,5.0 LB,1,64.16
1476409,"Chicken Wings, Boneless, Frozen",71.61,2,2.27 KG,1,71.61
1488066,"Chicken Wings, Seasoned, Cooked, Frozen",92.67,4,2.0 KG,1,92.67
1303887,"Pastries, Cinnamon Twist, Pull Apart",59.1,16,0.37 KG,1,59.1
1504473,"Pepperoni, Sliced, Frozen",102.33,2,12.5 LB,1,102.33
1503388,"Pizza Crust, Gluten Free, Frozen",16.22,1,5.0 UN,1,16.22
1380913,"Sauce, Alfredo, Frozen",21.02,3,2.0 LB,1,21.02
1341931,"Sausages, Old World Italian, Frozen",88.53,4,2.27 KG,1,88.53
1502660,"Boxes, 12In Pizza, Custom",26.78,1,50.0 UN,2,53.56
1502661,"Boxes, 14In Pizza, Custom",28.98,1,50.0 UN,2,57.96
1502656,"Boxes, 10In Kraft Pizza, Custom",21.57,1,50.0 UN,3,64.71
1502655,"Boxes, 16In Kraft Pizza, Custom",39.49,1,50.0 UN,1,39.49
1502653,"Cartons, Papadia, Custom",26.66,1,50.0 UN,1,26.66
1188837,"Dressing, Creamy Ranch, Gluten Free",55.4,2,3.78 L,1,55.4
1110486,"Olives, Sliced Ripe Black",77.86,6,2.84 L,1,77.86
1150622,"Sauce, Creamy Garlic Dipping, Portion Cup",52.67,100,44.0 ML,1,52.67
1260051,"Pizza Sauce, Fully Seasoned",40.43,6,100.0 OZ,4,161.72
