Item Number,Item Description,Price (Case/Unit),Pack,Size,Quantity Shipped,Price (Extended)
1303926,"Icing, Cream Cheese",34.15,8,0.68 KG,1,34.15
1327008,"Mushrooms, Premium Button, #1",20.09,1,5.0 LB,2,40.18
1325719,"Sauce, Garlic, Cup",25.58,160,1.0 OZ,1,25.58
1399323,"Beef Steaks, 4oz Sliced Seasoned Philly, Cooked, Frozen",89.81,4,2.5 LB,1,89.81
1267483,"Cheese, Diced Mozzarella, CDC3D",120.03,2,6.0 KG,3,360.09
1382216,"Cheese, Mozzarella String, Frozen",83.57,1,6.0 KG,2,167.14
1260871,"Cheese Blend, Shredded Parmesan, 50/50",39.23,2,1.0 KG,1,39.23
1260870,"Cheese Blend, Shredded Three, 3",91.97,2,3.0 KG,1,91.97
1488066,"Chicken Wings, Seasoned, Cooked, Frozen",95.93,4,2.0 KG,6,575.58
1189671,"Pepperoni, Dry Cure, Frozen",101.17,2,10.0 LB,2,202.34
1502660,"Boxes, 12In Pizza, Custom",26.34,1,50.0 UN,2,52.68
1502661,"Boxes, 14In Pizza, Custom",28.34,1,50.0 UN,3,85.02
1502656,"Boxes, 10In Kraft Pizza, Custom",21.22,1,50.0 UN,4,84.88
1502654,"Boxes, 8In Kraft Pizza, Custom",20.57,1,50.0 UN,1,20.57
1502653,"Cartons, Papadia, Custom",26.66,1,50.0 UN,1,26.66
1503391,"Peppers, Pepperoncini",43.73,6,5.0 LB,1,43.73
1503392,"Peppers, Crushed Red, Packet",16.94,1,500.0 UN,1,16.94
1503392,"Peppers, Crushed Red, Packet",16.94,1,500.0 UN,1,16.94
9945205,"Pineapple Tidbits, In Natural Juice Tidbit Trans Fat Compliant",59.82,6,2.84 L,1,59.82
1150622,"Sauce, Creamy Garlic Dipping, Portion Cup",54.87,100,44.0 ML,1,54.87
1261357,"Sauce, Honey Chipotle",23.14,10,16.0 OZ,1,23.14
1260051,"Pizza Sauce, Fully Seasoned",53.98,6,100.0 OZ,1,53.98
1261358,"Seasoning, Classic Italian",32.41,10,8.0 OZ,1,32.41
1261571,"Trays, Paper, Garlic Bread Custom Papa Johns",32.88,1,8.98 KG,1,32.88
