Item Number,Item Description,Price (Case/Unit),Pack,Size,Quantity Shipped,Price (Extended)
1502671,"Cheese, Shredded Medium Colour Cheddar, 34 Percent, Fresh",60.75,6,620.0 G,1,60.75
1333033,"Sauce, Blue Cheese, Portion Cup",33.2,160,1.0 OZ,1,33.2
1325719,"Sauce, Garlic, Cup",24.54,160,1.0 OZ,3,73.62
1333039,"Sauce, Honey Mustard, Portion Cup",28.61,160,1.0 OZ,1,28.61
1333025,"Sauce, Ranch, Portion Cup",24.95,160,1.0 OZ,1,24.95
1294178,"Bacon, Canadian Style, Julienne Frozen",41.1,2,2.27 KG,1,41.1
1260931,"Bacon Pieces, Cooked, Frozen",110.37,4,1.36 KG,1,110.37
1291786,"Ground Beef, Cooked Seasoned, Frozen",27.95,2,1.36 KG,1,27.95
1291786,"Ground Beef, Cooked Seasoned, Frozen",27.95,2,1.36 KG,1,27.95
1267483,"Cheese, Diced Mozzarella, CDC3D",120.71,2,6.0 KG,5,603.55
1382216,"Cheese, Mozzarella String, Frozen",83.99,1,6.0 KG,1,83.99
1260871,"Cheese Blend, Shredded Parmesan, 50/50",39.42,2,1.0 KG,2,78.84
1260870,"Cheese Blend, Shredded Three, 3",92.44,2,3.0 KG,1,92.44
1288202,"Chicken Breast Strips, Cooked, Frozen",62.39,2,5.0 LB,2,124.78
1476409,"Chicken Wings, Boneless, Frozen",69.74,2,2.27 KG,1,69.74
1488066,"Chicken Wings, Seasoned, Cooked, Frozen",92.67,4,2.0 KG,1,92.67
1261475,"Cookies, Chocolate Chip, Frozen",71.85,24,0.32 KG,1,71.85
1505004,"Flour, Dustinator Blend Pizza, Frozen",19.64,1,25.0 LB,1,19.64
1504473,"Pepperoni, Sliced, Frozen",73.95,2,12.5 LB,1,73.95
1503388,"Pizza Crust, Gluten Free, Frozen",16.22,1,5.0 UN,2,32.44
1263084,"Salami, Pizza, Sliced Frozen",9.97,4,1.0 KGA,1,39.88
1380913,"Sauce, Alfredo, Frozen",20.72,3,2.0 LB,1,20.72
1291715,"Sausages, Pork, Cooked, Frozen",38.47,4,2.27 KG,2,76.94
1502660,"Boxes, 12In Pizza, Custom",28.95,1,50.0 UN,1,28.95
1502661,"Boxes, 14In Pizza, Custom",31.36,1,50.0 UN,3,94.08
1502656,"Boxes, 10In Kraft Pizza, Custom",23.2,1,50.0 UN,2,46.4
1502655,"Boxes, 16In Kraft Pizza, Custom",42.97,1,50.0 UN,1,42.97
1502654,"Boxes, 8In Kraft Pizza, Custom",22.41,1,50.0 UN,1,22.41
1130874,"Olives, Sliced Manzanilla Green",60.87,4,1.6 KG,1,60.87
1110486,"Olives, Sliced Ripe Black",77.86,6,2.84 L,1,77.86
1503392,"Peppers, Crushed Red, Packet",16.84,1,500.0 UN,1,16.84
1150622,"Sauce, Creamy Garlic Dipping, Portion Cup",52.67,100,44.0 ML,2,105.34
1260051,"Pizza Sauce, Fully Seasoned",53.98,6,100.0 OZ,4,215.92
1476275,"Seasoning, Special, Portion",17.84,300,2.8 G,1,17.84
