Item Number,Item Description,Price (Case/Unit),Pack,Size,Quantity Shipped,Price (Extended)
1354946,"Cheese, Crumbled Feta",56.72,6,500.0 G,1,56.72
1504785,FROSTING CRM CHS PHILLY,64.31,12,280.0 G,1,64.31
1326987,"Mushrooms, Premium Medium, #1",20.13,1,5.0 LB,3,60.39
1311589,"Peppers, Choice Green",38.86,1,25.0 LB,1,38.86
1325719,"Sauce, Garlic, Cup",24.99,160,1.0 OZ,2,49.98
1294178,"Bacon, Canadian Style, Julienne Frozen",41.19,2,2.27 KG,2,82.38
1503250,"Beef Steaks, Sliced Seasoned Philly, Cooked, Frozen",89.81,4,2.5 LB,1,89.81
1267483,"Cheese, Diced Mozzarella, CDC3D",120.71,2,6.0 KG,5,603.55
1260871,"Cheese Blend, Shredded Parmesan, 50/50",39.42,2,1.0 KG,1,39.42
1288202,"Chicken Breast Strips, Cooked, Frozen",64.16,2,5.0 LB,1,64.16
1476409,"Chicken Wings, Boneless, Frozen",71.61,2,2.27 KG,1,71.61
1189671,"Pepperoni, Dry Cure, Frozen",101.92,2,10.0 LB,2,203.84
1503388,"Pizza Crust, Gluten Free, Frozen",16.22,1,5.0 UN,2,32.44
1404439,"Sausage, Italian, Topping, Cooked, Frozen",50.27,2,2.27 KG,1,50.27
1502660,"Boxes, 12In Pizza, Custom",26.34,1,50.0 UN,2,52.68
1502661,"Boxes, 14In Pizza, Custom",28.34,1,50.0 UN,4,113.36
1502656,"Boxes, 10In Kraft Pizza, Custom",21.22,1,50.0 UN,2,42.44
1503394,"Peppers, Sliced Jalapeno",35.7,8,80.0 OZ,1,35.7
1503391,"Peppers, Pepperoncini",40.61,6,5.0 LB,1,40.61
1260051,"Pizza Sauce, Fully Seasoned",53.98,6,100.0 OZ,2,107.96
