Item Number,Item Description,Price (Case/Unit),Pack,Size,Quantity Shipped,Price (Extended)
1325719,"Sauce, Garlic, Cup",24.99,160,1.0 OZ,2,49.98
1294178,"Bacon, Canadian Style, Julienne Frozen",41.19,2,2.27 KG,2,82.38
1260931,"Bacon Pieces, Cooked, Frozen",102.08,4,1.36 KG,1,102.08
1267483,"Cheese, Diced Mozzarella, CDC3D",120.71,2,6.0 KG,4,482.84
1288202,"Chicken Breast Strips, Cooked, Frozen",64.16,2,5.0 LB,1,64.16
1504473,"Pepperoni, Sliced, Frozen",102.33,2,12.5 LB,1,102.33
1503388,"Pizza Crust, Gluten Free, Frozen",16.22,1,5.0 UN,2,32.44
1502660,"Boxes, 12In Pizza, Custom",26.78,1,50.0 UN,2,53.56
1502661,"Boxes, 14In Pizza, Custom",28.98,1,50.0 UN,2,57.96
1502659,"Boxes, 6.5In Pizza, Custom",30.29,1,100.0 UN,1,30.29
1502656,"Boxes, 10In Kraft Pizza, Custom",21.57,1,50.0 UN,2,43.14
1502654,"Boxes, 8In Kraft Pizza, Custom",20.85,1,50.0 UN,1,20.85
1504037,"Pineapple Tidbits, Light Syrup, #10",56.8,6,10.0 UN,1,56.8
1150622,"Sauce, Creamy Garlic Dipping, Portion Cup",52.67,100,44.0 ML,1,52.67
1260051,"Pizza Sauce, Fully Seasoned",53.98,6,100.0 OZ,3,161.94
1503396,"Sheets, 10In Baking",20.94,1,1000.0 UN,1,20.94
