Item Number,Item Description,Price (Case/Unit),Pack,Size,Quantity Shipped,Price (Extended)
1326987,"Mushrooms, Premium Medium, #1",,1,5.0 LB,0,0
1325719,"Sauce, Garlic, Cup",24.99,160,1.0 OZ,2,49.98
1319486,"Tomatoes, Medium Stage 4/5, Bulk 6X7",31.54,1,25.0 LB,1,31.54
1294178,"Bacon, Canadian Style, Julienne Frozen",41.19,2,2.27 KG,1,41.19
1260931,"Bacon Pieces, Cooked, Frozen",93.93,4,1.36 KG,1,93.93
1399323,"Beef Steaks, 4oz Sliced Seasoned Philly, Cooked, Frozen",89.81,4,2.5 LB,1,89.81
1267483,"Cheese, Diced Mozzarella, CDC3D",120.03,2,6.0 KG,4,480.12
1382216,"Cheese, Mozzarella String, Frozen",83.57,1,6.0 KG,1,83.57
1260871,"Cheese Blend, Shredded Parmesan, 50/50",38.13,2,1.0 KG,1,38.13
1288202,"Chicken Breast Strips, Cooked, Frozen",64.16,2,5.0 LB,2,128.32
1488066,"Chicken Wings, Seasoned, Cooked, Frozen",92.67,4,2.0 KG,2,185.34
1189671,"Pepperoni, Dry Cure, Frozen",101.17,2,10.0 LB,1,101.17
1503388,"Pizza Crust, Gluten Free, Frozen",16.32,1,5.0 UN,2,32.64
1380913,"Sauce, Alfredo, Frozen",21.02,3,2.0 LB,1,21.02
1502660,"Boxes, 12In Pizza, Custom",26.34,1,50.0 UN,2,52.68
1502661,"Boxes, 14In Pizza, Custom",28.34,1,50.0 UN,4,113.36
1502656,"Boxes, 10In Kraft Pizza, Custom",21.22,1,50.0 UN,1,21.22
1502654,"Boxes, 8In Kraft Pizza, Custom",20.57,1,50.0 UN,2,41.14
1502653,"Cartons, Papadia, Custom",26.66,1,50.0 UN,1,26.66
1333028,"Sauce, Barbeque, Portion Cup",23.48,160,1.0 OZ,1,23.48
1333030,"Sauce, Buffalo, Portion Cup",28.99,160,1.0 OZ,1,28.99
1150622,"Sauce, Creamy Garlic Dipping, Portion Cup",54.87,100,44.0 ML,1,54.87
1260051,"Pizza Sauce, Fully Seasoned",53.98,6,100.0 OZ,3,161.94
1277766,"Trays, Paper, Garlic Knot Cust Papa John",15.31,1,125.0 UN,1,15.31
