Item Number,Item Description,Price (Case/Unit),Pack,Size,Quantity Shipped,Price (Extended)
1311589,"Peppers, Choice Green",38.86,1,25.0 LB,1,38.86
1325719,"Sauce, Garlic, Cup",24.99,160,1.0 OZ,4,99.96
1333039,"Sauce, Honey Mustard, Portion Cup",28.01,160,1.0 OZ,1,28.01
1294178,"Bacon, Canadian Style, Julienne Frozen",41.19,2,2.27 KG,1,41.19
1267483,"Cheese, Diced Mozzarella, CDC3D",120.71,2,6.0 KG,6,724.26
1382216,"Cheese, Mozzarella String, Frozen",83.99,1,6.0 KG,1,83.99
1260870,"Cheese Blend, Shredded Three, 3",92.44,2,3.0 KG,1,92.44
1288202,"Chicken Breast Strips, Cooked, Frozen",64.16,2,5.0 LB,3,192.48
1476409,"Chicken Wings, Boneless, Frozen",71.61,2,2.27 KG,2,143.22
1505004,"Flour, Dustinator Blend Pizza, Frozen",19.37,1,25.0 LB,1,19.37
1189671,"Pepperoni, Dry Cure, Frozen",101.17,2,10.0 LB,1,101.17
1503388,"Pizza Crust, Gluten Free, Frozen",16.32,1,5.0 UN,1,16.32
1263084,"Salami, Pizza, Sliced Frozen",9.97,4,1.0 KGA,1,39.88
1380913,"Sauce, Alfredo, Frozen",21.02,3,2.0 LB,2,42.04
1503399,"Sauce, Spicy Garlic, Portion Cups",28.89,160,1.0 OZ,1,28.89
1341931,"Sausages, Old World Italian, Frozen",86.11,4,2.27 KG,1,86.11
1404439,"Sausage, Italian, Topping, Cooked, Frozen",50.27,2,2.27 KG,1,50.27
1502660,"Boxes, 12In Pizza, Custom",26.34,1,50.0 UN,4,105.36
1502661,"Boxes, 14In Pizza, Custom",28.34,1,50.0 UN,3,85.02
1502656,"Boxes, 10In Kraft Pizza, Custom",21.22,1,50.0 UN,1,21.22
1502654,"Boxes, 8In Kraft Pizza, Custom",20.57,1,50.0 UN,1,20.57
1502653,"Cartons, Papadia, Custom",26.66,1,50.0 UN,1,26.66
1503391,"Peppers, Pepperoncini",41.35,6,5.0 LB,1,41.35
9945205,"Pineapple Tidbits, In Natural Juice Tidbit Trans Fat Compliant",59.82,6,2.84 L,1,59.82
1502905,"Sauce, Butter Chicken",39.8,12,473.0 ML,1,39.8
1362021,"Sauce, Buffalo",21.21,8,24.0 OZ,1,21.21
1150622,"Sauce, Creamy Garlic Dipping, Portion Cup",55.67,100,44.0 ML,1,55.67
1260051,"Pizza Sauce, Fully Seasoned",53.98,6,100.0 OZ,6,323.88
